"Path","Bytes","Sha256","Role"
"audit/questbook-legacy-1.8.0/chapters/world_lore.snbt","15738","ece32e8cc9979bdf3c27522086f0af0487892327c9210564ccb03c86bb2c58a1","Audit/report"
"audit/questbook-legacy-1.8.0/data.snbt","640","7c489bbd962679bcc5e645d94469c57b91d81fad5b5dd2445aa13303903d08ce","Audit/report"
"audit/questbook-legacy-1.8.0/RESEARCH-SOURCES.txt","1773","52445e06464d1e1e653a4b4250113c8b3373655935a0f831e1c80edab0e2f507","Audit/report"
"audit/questbook-legacy-1.8.0/STAGING-NOTES.txt","740","6f671c1aab03b466026188e80307f2ee0718eb768d8925e873ec6f4c8bf7da8f","Audit/report"
"audit/questbook-validation.json","3681","eb3e109b0cc2ebe4cdc947126b42f4a3af14baed69491aa6b5a6fa1f227445dd","Audit/report"
"audit/questbook-validation-detailed.json","2288","02de4cf70cdf9c735d9458bdee1c3187c683f2b09212c22f94efd1ddd0f25b6e","Audit/report"
"audit/quest-mods.json","11049","2ce67ed419424737bc46ea4c60297a7a4ce9b346638d5c7a320c0235ec099e47","Audit/report"
"audit/quests.csv","32030","a504d8cb3fb121ba043313bfcba3d85744a161c05b27c9e9b0cf2b1de6549c45","Audit/report"
"audit/rc1-change-manifest.md","2994","127d7659cc98e9ba47a8e82cc7236685e273b16a9d4dff58506b0a15859be073","Audit/report"
"audit/repository-files.csv","self","self-generated","Complete repository file inventory"
"audit/runtime-data-errors-v1.1.0-rc1.md","1738","18474024eae609730136ea546001ed5f72643ed36af62a1fcbcbda4cdd1008a6","Audit/report"
"audit/summary.json","506","a58d3028b26ad98856d70f248908ac6bb1e1cca2c9e7ae6ce5257bf7c723f7b6","Audit/report"
"audit/validation-report.json","3229","a05f1ab0b458fc82a3df85917625c3db27b2748a57db095acc8db7a73587e02d","Audit/report"
"bootstrap/template/instance.cfg","1342","d40fb0127f6c7396eac9d58b59d92a93d9d671cf8e7df34dd36db372b01bc5e1","Prism bootstrap template"
"bootstrap/template/mmc-pack.json","768","8212687fe224e6e5e56329eb2e6e32d1c3434ba685514275eb02bc5323ceffc1","Prism bootstrap template"
"docs/FILE-CLASSIFICATION.md","3998","22f2111e8d7e24885c94e656508e5ca8371c7ec440408880e45708e708b9f010","Documentation"
"docs/OPERATIONS.md","10680","afb89702564546e229b39bcfe864015f5faf1a31dca65b54d9a9655dc6587c2a","Documentation"
"docs/QUESTBOOK.md","887","c197d42cebe27ba1908425e1abeaeb387f8012456d6f012f91c250091da37122","Documentation"
"docs/QUEST-PROGRESSION.md","9523","a3329e11bde25dec961dca4aef28c8caf0541d96229e0fe131c99d52676f607a","Documentation"
"packwiz/.packwizignore","358","cb41fd1266458795314aa2804c78157fb9b83181db32bd6b4a37244171b7e046","Packwiz pack/index/file metadata"
