"Filename","Name","Side","Sha512","Source","Confidence"
"another_furniture-forge-1.20.1-3.0.4.jar","Another Furniture","both","c57011a7e078cdb05ca05123d2ca3d01b1f3baca3555c067150e23d75268bb250b45a780da1488a49c08c46f6ed38e883f6cd47981babffe43b5f501984f1afc","https://cdn.modrinth.com/data/ulloLmqG/versions/S9tNKT5R/another_furniture-forge-1.20.1-3.0.4.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"appleskin-forge-mc1.20.1-2.5.1.jar","AppleSkin","client","3176f928fb6c60d27f5edb610ca4ab0236175404eebf32797a1ec6cdd794bb294a260231579578536d03571377e43c6181adc75d8dd2c0733f17fce4f7e636b9","https://cdn.modrinth.com/data/EsAfCjCV/versions/XdXDExVF/appleskin-forge-mc1.20.1-2.5.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"Aquaculture-1.20.1-2.5.7.jar","Aquaculture 2","both","0ce772a8c8379ab5c38b6a6db05d57d5c1764c97d66102ea1ca57e98011dcc6294f38523f0b34ba9f571ff591c9c6e40c5f6ddcaea32b60dac6bd570093b4ed3","https://cdn.modrinth.com/data/Vl1uNAuy/versions/wNiFoROs/Aquaculture-1.20.1-2.5.7.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"aquamirae-forge-1.20.1-6.4.0.jar","Aquamirae","both","d4f689e25f691cf4bafdf1eb26901c4b6d0548c73b136537b90ac649c4f6fa52b00557abf7c82dfbcedd57be5f6931dbfb577cb88f4f9fd4b4725f088200321d","https://cdn.modrinth.com/data/k23mNPhZ/versions/A6aIqoJZ/aquamirae-forge-1.20.1-6.4.0.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"architectury-9.2.14-forge.jar","Architectury API","both","cf67f2050cafa00f0bee42e6d7bef77fdb808ac4f71742f7b4d6d5c1e6ffb49561a5a252f332d2b78a9767bdb5faa284611790dba303fbdc736ae36d794f61c7","https://cdn.modrinth.com/data/lhGA9TYQ/versions/1MKTLiiG/architectury-9.2.14-forge.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"artifacts-forge-9.5.19.jar","Artifacts","both","bea709250d367fa7957d523e51771b4fe3183678625dd20824722d9702523b076b0b9787331a954f7fd4184c00e450186c8756b710686eacf5f81ed66726a6a3","https://cdn.modrinth.com/data/P0Mu4wcQ/versions/lrLPBSzq/artifacts-forge-9.5.19.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"astikorcartsredux-1.2.3.jar","AstikorCarts Redux","both","dd312304bc9239813a4be4a559c212be4ec24bd1b0e99f9b3c18822d5c80ca7c556fcb3c5ee4d7f4d909d5f79dd960dd607fbe9b3ee98bef50f940106eb19232","https://cdn.modrinth.com/data/mnLFouB0/versions/Cua8odGy/astikorcartsredux-1.2.3.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"autumnity-1.20.1-5.0.2.jar","autumnity-1.20.1-5.0.2","both","09362d1901f3a49d0c027028760213fe54b76acd5a7cff73b27c691581a5280ac7b7b3e26e3eb1a559d08b1490d417dd6525825b62b59f2f5a5355a066d00549","https://cdn.modrinth.com/data/cRh6MJ6n/versions/F0pPtIPH/autumnity-1.20.1-5.0.2.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"balm-forge-1.20.1-7.3.41-all.jar","Balm","both","2f1d334f90f6836114074cae09f915b13d459df164999b7faa71e1f2f520ee20bd27cfb8ea4cb3aeca9cc3c035c130d5a79982b42f0edec33e9411819ae5fbb4","https://cdn.modrinth.com/data/MBAkmtvl/versions/47ZbZoOg/balm-forge-1.20.1-7.3.41-all.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"beautify-2.0.2.jar","Beautify!","both","e1484165b14dd71473c6934647a71e62db3a281cbaaa66ef7eaf4f5325e9807820954156354fc92626c65f1dc17b7e9be4649c1ef6191b83b27bf749af0f302f","https://cdn.modrinth.com/data/9BPuv4vL/versions/v9NnLuyB/beautify-2.0.2.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
